Company	Full address	Street	City	State	Code
Buffalo Cement Company Ltd	Franklin street,Buffalo,NY	Franklin street	Buffalo	NY	6
Buffalo Forge Company Broadway and Mortimer streets	,Buffalo,NY		Buffalo	NY	6
Buffalo Oil Paint and Varnish Company	1317 Elk street,Buffalo,NY	1317 Elk street	Buffalo	NY	6
Buhl Malleable Company	Wight and Adair streets,Detroit,MI	Wight and Adair streets	Detroit	MI	6
Bullock Ward & Company	60-62 North Desplaines street,Chicago,IL	60-62 North Desplaines street	Chicago	IL	6
Burgess Sulphite Fiber Company	131 State street,Boston,MA	131 State street	Boston	MA	6
Burlington Lumber Company	,Burlington,IA		Burlington	IA	6
C. D. Widman & Company	443 Trombly avenue,Detroit,MI	443 Trombly avenue	Detroit	MI	6
C. E. Jennings & Company	42 Murray street,New York,NY	42 Murray street	New York	NY	6
C. H. Brownell	,Peru,IN		Peru	IN	6
C. H. Campbell Furniture Company	,Shelbyville,IN		Shelbyville	IN	6
C. H. Cowdrey Machine Works	5 Main street,Fitchburg,MA	5 Main street	Fitchburg	MA	6
C. H. Dexter & Sons	,Windsor Locks,CT		Windsor Locks	CT	6
C. H. Merritt & Son	,Danbury,CT		Danbury	CT	6
C. H. Stoelting Company	31-45 West Randolph street,Chicago,IL	31-45 West Randolph street	Chicago	IL	6
C. L. Flaccus Glass Company	Empire building,Pittsburghh,PA	Empire building	Pittsburghh	PA	6
C. L. Willey	1225 South Roby street,Chicago,IL	1225 South Roby street	Chicago	IL	6
California Powder Works	,San Francisco,CA		San Francisco	CA	6
California Saw Works	208 Mission street,San Francisco,CA	208 Mission street	San Francisco	CA	6
California Wine Association	661 Third street,San Francisco,CA	661 Third street	San Francisco	CA	6
Campbell Knitting Mill Company	,Elmira,NY		Elmira	NY	6
Capital Gas Engine Company (Arthur Jordan	owner),Indianapolis,IN	owner)	Indianapolis	IN	6
Carnegie Steel Company	Carhegie building,Pittsburgh,PA	Carhegie building	Pittsburgh	PA	6
Carpenter-Lamb Company	712 Andrus building,Minneapolis,MN	712 Andrus building	Minneapolis	MN	6
Carter Rice & Company Inc	246 Devonshire street,Boston,MA	246 Devonshire street	Boston	MA	6
Cartilage Tissue Paper Mills	,Carthage,NY		Carthage	NY	6
Cary Safe Company	Chicago and Scott streets,Buffalo,NY	Chicago and Scott streets	Buffalo	NY	6
Cascaden-Vaughan Company	,Waterloo,IA		Waterloo	IA	6
Castalia Portland Cement Company	209 Ninth street,Pittsburgh,PA	209 Ninth street	Pittsburgh	PA	6
Central States Bridge Company	601 Beecher street,Indianapolis,IN	601 Beecher street	Indianapolis	IN	6
Chadwick Copying Book Company	,Springfield,MA		Springfield	MA	6
Chadwick Manufacturing Company	,Charlotte,NC		Charlotte	NC	6
Champion Paper Company	,Carthage,NY		Carthage	NY	6
Champion Saw and Machine Company	,Beaver Falls,PA		Beaver Falls	PA	6
Chandler & Taylor Company	740 West Washington avenue,Indianapolis,IN	740 West Washington avenue	Indianapolis	IN	6
Chapman Valve Manufacturing Company	,Indian Orchard,MA		Indian Orchard	MA	6
Charles A. Schieren Company	30-38 Ferry street,New York,NY	30-38 Ferry street	New York	NY	6
Charles K. Fox	,Haverhill,MA		Haverhill	MA	6
Charles Schuetz & Sons	,Newark,NJ		Newark	NJ	6
Charlottesville Woolen Mills	,Charlottesville,VA		Charlottesville	VA	6
Chas. Beck Paper Company	609 Chestnut Street,Philadelphia,PA	609 Chestnut Street	Philadelphia	PA	6
Chase-Hackley Piano Company	,Muskegon,MI		Muskegon	MI	6
Chattanooga Car and Foundry Company	401 Boyce street,Chattanooga,TN	401 Boyce street	Chattanooga	TN	6
Chattanooga Coffin and Casket Company	,Chattanooga,TN		Chattanooga	TN	6
Chattanooga Furniture Company	,Chattanooga,TN		Chattanooga	TN	6
Chattanooga Implement and Manufacturing Company	,East Chattanooga,TN		East Chattanooga	TN	6
Chattanooga Plow Company	,Chattanooga,TN		Chattanooga	TN	6
Chattanooga Roofing and Foundry Company	,Chattanooga,TN		Chattanooga	TN	6
Chattanooga Sewer Pipe and Fire Brick Company	,Chattanooga,TN		Chattanooga	TN	6
Chautauqua Worsted Mills	,Jamestown,NY		Jamestown	NY	6
Cheney Brothers Inc	,South Manchester,CT		South Manchester	CT	6
Chester B. Albree Iron Works Company	1117 Market street,Allegheny,PA	1117 Market street	Allegheny	PA	6
Chicago Belting Company	67 South Canal street,Chicago,IL	67 South Canal street	Chicago	IL	6
Chicago-Cleveland Car Roofing Company	84 Van Buren street,Chicago,IL	84 Van Buren street	Chicago	IL	6
Chickasaw Iron Works	,Memphis,TN		Memphis	TN	6
Christian Feigenspan Inc	42 Freeman street,Newark,NJ	42 Freeman street	Newark	NJ	6
Christopher Cunningham	Greenpoint avenue and Newtown creek,Brooklyn,NY	Greenpoint avenue and Newtown creek	Brooklyn	NY	6
Christy Fire Clay Company	Morgan Ford road and Gravois avenue,St Louis,MO	Morgan Ford road and Gravois avenue	St Louis	MO	6
Citico Furnace Company	,Chattanooga,TN		Chattanooga	TN	6
Clark & Coombs Company	86 West Exchange street,Providence,RI	86 West Exchange street	Providence	RI	6
Clement Manufacturing Company	,Northampton,MA		Northampton	MA	6
Clipper Lawn Mower Company	,Dixon,IL		Dixon	IL	6
Clum & Atkinson	575 Lyell avenue,Rochester,NY	575 Lyell avenue	Rochester	NY	6
Clyde Iron Works	,Duluth,MN		Duluth	MN	6
Coe Brass Manufacturing Company	,Torrington,CT		Torrington	CT	6
Collins Plow Company	Twelfth and Hampshire streets,Quincy,IL	Twelfth and Hampshire streets	Quincy	IL	6
Columbia Box Company	Nineteenth and North Market streets,St Louis,MO	Nineteenth and North Market streets	St Louis	MO	6
Columbia Tool Steel Company	1401 Schiller building,Chicago,IL	1401 Schiller building	Chicago	IL	6
Columbus Manufacturing Company	,Columbus,GA		Columbus	GA	6
Combined Locks Paper Company	,Appleton,WI		Appleton	WI	6
Commercial Electric Company	,Indianapolis,IN		Indianapolis	IN	6
Commercial Envelope and Box Company	,Binghamton,NY		Binghamton	NY	6
Comptograph Company	146-156 Blackhawk street,Chicago,IL	146-156 Blackhawk street	Chicago	IL	6
Conroy Prugh & Company	1430 Western avenue,Allegheny,PA	1430 Western avenue	Allegheny	PA	6
Corona Kid Company	95 South street,Boston,MA	95 South street	Boston	MA	6
Crafts Harrington & Company	97 Belmont street,Brockton,MA	97 Belmont street	Brockton	MA	6
Crane & MacMahon	8 Bridge street,New York,NY	8 Bridge street	New York	NY	6
Cumberland Telephone and Telegraph Company	,Nashville,TN		Nashville	TN	6
Cutler Jewelry Company	7 Eddy street,Providence,RI	7 Eddy street	Providence	RI	6
Cyrus Borgner Company	Twenty-third street above Race street,Philadelphia,PA	Twenty-third street above Race street	Philadelphia	PA	6
Cyrus Currier & Sons	365 Market street,Newark,NJ	365 Market street	Newark	NJ	6
D. M. Sechler Carriage Company	,Moline,IL		Moline	IL	6
D. O. Cunningham Gians Company	Twenty-second and Jane streets,Pittsburgh,PA	Twenty-second and Jane streets	Pittsburgh	PA	6
D. WV Alderman & Sons Company	,Alcoln,SC		Alcoln	SC	6
Davenport Pearl Button Company	,Davenport,IA		Davenport	IA	6
David Adler & Sons Clothing Company	East Water and Huron streets,Milwaukee,WI	East Water and Huron streets	Milwaukee	WI	6
David Bradley Manufacturing Company	,Bradley,IL		Bradley	IL	6
David Woerner Cooperage Company	Fourteenth and Harrison streets,San Francisco,CA	Fourteenth and Harrison streets	San Francisco	CA	6
Davidson Rubber Company	Caldwell street,Boston,MA	Caldwell street	Boston	MA	6
Deere & Company	,Moline,IL		Moline	IL	6
Deere & Webber Company	800 Washington avenue North,Minneapolis,MN	800 Washington avenue North	Minneapolis	MN	6
Deering Milliken & Company	79 Leonard street,New York,NY	79 Leonard street	New York	NY	6
DeLoach Mill Manufacturing Company	400 Highland avenue,Atlanta,GA	400 Highland avenue	Atlanta	GA	6
Dempster & Place	,Gloversville,NY		Gloversville	NY	6
Denver Sewer Pipe and Clay Company	611 Continental building,Denver,CO	611 Continental building	Denver	CO	6
Detroit Oak Belting Company	266 Wight street,Detroit,MI	266 Wight street	Detroit	MI	6
Detroit Shipbuilding Company	Foot of Orleans street,Detroit,MI	Foot of Orleans street	Detroit	MI	6
Diamond Machine Company	9 Codding street,Providence,RI	9 Codding street	Providence	RI	6
Dilworth Porter & Company Ltd	German National Bank building,Pittsburgh,PA	German National Bank building	Pittsburgh	PA	6
Divine Brothers Company	,Utica,NY		Utica	NY	6
Dodge-Davis Manufacturing Company	,Bristol,NH		Bristol	NH	6
Dodson-Braun Manufacturing Company	Third and Cedar streets,St Louis,MO	Third and Cedar streets	St Louis	MO	6
Doernbecher Manufacturing Company	,Portland,OR		Portland	OR	6
Doubleday Page & Company	133-137 East Sixteenth street,New York,NY	133-137 East Sixteenth street	New York	NY	6
Doubleday-Hill Electric Company	919 Liberty avenue,Pittsburgh,PA	919 Liberty avenue	Pittsburgh	PA	6
Dr. D. Jayne & Son	242 Chestnut street,Philadelphia,PA	242 Chestnut street	Philadelphia	PA	6
Draper Company	,Hopedale,MA		Hopedale	MA	6
Ducker Company	277 Broadway,New York,NY	277 Broadway	New York	NY	6
Duncan Electric Manufacturing Company	,Lafayette,IN		Lafayette	IN	6
Dungan Hood & Company Inc	2100 North American street,Philadelphia,PA	2100 North American street	Philadelphia	PA	6
E. B. Badger & Sons Company	63-69 Pitts street,Boston,MA	63-69 Pitts street	Boston	MA	6
E. C. Fuller Company. 28 Reade street	,New York,NY		New York	NY	6
E. C. Hazard & Company	117 Hudson street,New York,NY	117 Hudson street	New York	NY	6
E. G. Swartz Company	Limited,Swartz,LA	Limited	Swartz	LA	6
E. J. Codd Company	700 South Caroline street,Baltimore,MD	700 South Caroline street	Baltimore	MD	6
E. Schneider & Company Inc	277 Dearborn street,Chicago,IL	277 Dearborn street	Chicago	IL	6
E. Sondheimer Company	1410 Tennessee Trust building,Memphis,TN	1410 Tennessee Trust building	Memphis	TN	6
E. Van Winkle Gin and Machine Works	,Atlanta,GA		Atlanta	GA	6
Eagle and Phenix Mills	,Columbus,GA		Columbus	GA	6
Eagle Cotton Mills Company	,Madison,IN		Madison	IN	6
East Tennessee Coal Company	313 Union avenue West,Knoxville,TN	313 Union avenue West	Knoxville	TN	6
Eastman Gardiner & Company	,Laurel,MS		Laurel	MS	6
Eaton-Huribut Paper Company	,Pittsfield,MA		Pittsfield	MA	6
Eclipse Machine Company	,Elmira,NY		Elmira	NY	6
Electric Boat Company	Pine street,New York,NY	Pine street	New York	NY	6
Electro-Chemical Engraving Company	450 Nineteenth street,Brooklyn,NY	450 Nineteenth street	Brooklyn	NY	6
Elgin Butter Tub Company	119 North State street,Elgin,IL	119 North State street	Elgin	IL	6
Elgin Packing Company	,Elgin,IL		Elgin	IL	6
Eliaha K. Kane	,Kushequa,PA		Kushequa	PA	6
Elkhart Carriage and Harness Manufacturing Company	,Elkhart,IN		Elkhart	IN	6
Elliott-Fisher Company	329 Broadway,New York,NY	329 Broadway	New York	NY	6
Elmwood Mills	Dexter and Daboll streets,Providence,RI	Dexter and Daboll streets	Providence	RI	6
Ely & Walker Dry Goods Company	800 to 816 Washington avenue,St Louis,MO	800 to 816 Washington avenue	St Louis	MO	6
Emerson Manufacturing Company	,Rockford,IL		Rockford	IL	6
Emerson Piano Company	120 Boylston street,Boston,MA	120 Boylston street	Boston	MA	6
Emerson Smith & Company Ltd	,Beaver Falls,PA		Beaver Falls	PA	6
Empire Brass Works	,East Stroudsburg,PA		East Stroudsburg	PA	6
Empire Rubber Manufacturing Company	,Trenton,NJ		Trenton	NJ	6
England Walton & Company Inc	Third and Vine streets,Philadelphia,PA	Third and Vine streets	Philadelphia	PA	6
Ensign Bickford & Company	,Simsbury,CT		Simsbury	CT	6
Enterprise Lumber Company	504-506 Prudential building,Atlanta,GA	504-506 Prudential building	Atlanta	GA	6
Epping-Carpenter Company	Forty-first street,Pittsburgh,PA	Forty-first street	Pittsburgh	PA	6
Ernst Wiener Company	66-68 Broad street,New York,NY	66-68 Broad street	New York	NY	6
Estabrook-Anderson Shoe Company	57 Lincoln street,Boston,MA	57 Lincoln street	Boston	MA	6
Eureka Refrigerator Company	,Indianapolis,IN		Indianapolis	IN	6
Evening Wisconsin Company	366-370 Milwaukee street,Milwaukee,WI	366-370 Milwaukee street	Milwaukee	WI	6
Everett Mills	24 Milk street,Boston,MA	24 Milk street	Boston	MA	6
Excelsior Wrapper Company	,Sheboygan,WI		Sheboygan	WI	6
Export Association	17 Battery place,New York,NY	17 Battery place	New York	NY	6
