Aberfoyle Manufacturing Company
Atwood Brothers
Atwood & McManus
Auburn Button Works
The Ault & Wiborg Company
The Aultman & Taylor Machinery Company
Aurora Cotton Mills
Austin Powder Company
The Autocar Company
Avalon Knitwear Company
Axelson Machine Company
Ayer Houston & Company
H. H. Babcock Company
The Babcock Printing Press Manufacturing Company
E. B. Badger & Sons Company
Baeder Adamson & Company
The Bagley & Sewall Company
John T. Bailey & Company
S. R. Bailey & Company
B. Bailey & Sons Inc
Baird Machinery Company Inc
O. D. Baker & Company
Baker Iron Works
The Baker Motor Vehicle Company
The Baker Printing Company
Baker-Vawter Company
Balbach Smelting and Refining Company
The Baldwin Company
Baldwin Locomotive Works
Ball Brothers Glass Manufacturing Company
The Ball & Wood Company
P. Ballantine & Sons
Ballard & Ballard Company
B. A. Ballou & Company
Joseph Bancroft & Sons Company
Baltimore Bridge Company
Banner Rubber Company
Barber-Colman Company
Barbour Stockwell Company
James Barker
William Barker Company
George D. Barnard & Company
Barnard & Leas Manufacturing Company
The Barnard Manufacturing Company
Barnard Manufacturing Company
A. R. Barnes & Company
B. F. Barnes Company
The Wallace Barnes Company
WV F. & John Barnes Company
Barnes Smith & Company
Barnet Leather Company
G. & H. Barnett Company
Barnhart Bros. & Spindler
The Barr Clay Company
Barrett Manufacturing Company
Bartels Thelen & Company
Bartlett & Company
A. F. Bartlett & Company
Bartlett Hayward & Company
The C. O. Bartlett & Snow Company
The Baas Foundry and Machine Company
Bass-Hueter Paint Company
The Batavia and New York Wood Working Company
Bateman Manufacturing Company
A. J. Bates & Company Inc
Bates Machine Company
Battle Creek Breakfast Food Company Ltd
The Bauer Cooperage Company
Bausch & Lomb Optical Company
Baush Machine Tool Company
Bay State Belting Company
The H. D. Beach Company
Chas. Beck Paper Company
Becker-Brainard Milling Machine Company
Beech-Nut Packing Company
Herman Behr & Company
Francis Beidler & Co
J. A. Bel Lumber Company Ltd
Belcher & Taylor Agricultural Tool Company
H. Belfield & Company
Belle City Manufacturing Company
Bellmark Pottery Company
Beloit Iron Works
Bemis Bro. Bag Company
M. S. Benedict Manufacturing Company
George P. Bent
Bentley & Gerwig Furniture Company
The Berger Manufacturing Company
Berghoff Brewing Company
Bering Manufacturing Company Inc
William A. Berkey Furniture Company
Berkey & Gay Furniture Company
Berkshire Cotton Manufacturing Company
Berlin Construction Company
The Berlin Machine Works
The E. G. Bernard Company
Bernheim Distilling Company Inc
Bernstein Manufacturing Company
Berry Bros.
Berry Foundry and Manufacturing Company
Berwind-White Coal Mining Company
Bessemer Coke Company
Bessemer Limestone Company
The Best Light Company
Bethlehem Steel Company
Bettendorf Metal Wheel Company
Betts Machine Company
Bibb Manufacturing Company
H. Bickford & Company
The Bickford & Francis Belting Company
Julius Bien & Company
The Bigelow Company
Bill Bell & Company
Billings Clapp Company
The Billings & Spencer Company
Binghamton Chair Company
Binghamton Whip Company
Binner-Wells Company
Binney & Smith Company
F. WV Bird & Son
Birdsell Manufacturing Company
Birdsey & Somers Company
M. H. Birge & Sons Company
Birmingham Iron Foundry
Birmingham Machine and Foundry Company
Birnie Paper Company
The Bishop & Babcock Company
George H. Bishop & Company
The Geo. WV Blabon Company
Blackmer & Post Pipe Company
The Blackstone Manufacturing Company
J. C. Blair Company
Blake & Johnson
Blanchard Brother & Lane
R. Blankenburg & Company
Bless & Drake
Bliss & Van Auken
The George Blome & Son Company
John Blood & Company
The Blue Ridge Marble Company
The Blymyer Iron Works Company
Bodley Wagon Company
The Charles Boldt Glass Company
The Bon Air Coal and Iron Company
Bonnet-Nance Stove Company
The Bonnot Company
Boomer & Boschert Press Company
The Booth Kelly Lumber Company
Boott Mills
Cyrus Borgner Company
The Bossert Electric Construction Company
Louis Bossert & Son
Boston Belting Company
Boston Bridge Works Inc
Boston Counter Company
Boston and Lockport Block Company
Botany Worsted Mills
Bottum & Torrance
Bousfield Wooden Ware Company
Bovey
S. F. Bowser & Company Inc
Boyts Porter & Company
The Bradford Belting Company
H. E. Bradford & Company
David Bradley Manufacturing Company
Bradley-Ramsay Lumber Company
C. C. Bradley & Son Inc
Osgood Bradley & Sons
The Brainerd & Armstrong Company
H. F. Brammer Manufacturing Company
Branch Saw Company
Brandegee Kincaid & Wood
Brandon Mills
Brandon Printing Company
Brandt Cashier Company
Brass Goods Manufacturing Company
Brecht B. S. Company
Charles WV Breneman & Company
John Brennan & Company Inc
Brennan & White
Brickner Woolen Mills Company
Bridge & Beach Manufacturing Company
Bridgeport Brass Company
The Bridgeport Chain Company
The Bridgeport Crucible Company
The Bridgeport Malleable Iron Company
The Bridgeport Wood Finishing Company
The Brier Hill Iron and Coal Company
The D. F. Briggs Company
Briggs & Cooper Company Limited
J. G. Brill Company
Brinly-Hardy Company Inc
H. Brinfon Company
Bristol-Myers Company
The John S. Brittain Dry Goods Company
Wm. Broadhead & Sons
Brock & Rankin
Broderick & Bascom Rope Company
Joseph H. Bromley
John Bromley & Sons
Brookside Mills
Broomell Schmidt & Steacy Company
Brown & Bailey Company
Brown & Bigelow
The A. & F. Brown Company
The E. C. Brown Company
The Brown Hoisting Machinery Company
Brown-Ketcham Iron Works
Brown Knitting Company
Brown Manufacturing Company
The Brown Paper Company
L. L. Brown Paper Company
Brown & Sharpe Manufacturing Company
The Brown Shoe Company
Brown Treacy & Sperry Company
C. H. Brownell
The Brownell Company
Brownville Board Company
Brox & Ryall
The Brunswick-Balke-Collender Company
Bryant Paper Company
Bryden Horse Shoe Company
Brylgon Steel Casting Company
A. Buch's Sons Company
George H. Buchanan Company
The Buck's Stove and Range Company
Buckeye Engine Company
Buckeye Iron and Brass Works
The Buckeye Steel Castings Company
Buckingham & Hecht
The Buckstaff Edwards Company Ltd
Buckwalter Stove Company
The Bucyrus Company
Buffalo Cement Company Ltd
Buffalo Forge Company Broadway and Mortimer streets
Buffalo Oil Paint and Varnish Company
Buffalo Pitts Company
Buffalo Scale Company
Buffalo Steel Company
Buffalo Weaving and Belting Company
Buhl Malleable Company
Bulkley Dunton & Company
The Bull's Ferry Chemical Company
The Bullard Machine Tool Company
Bullock Ward & Company
A. P. Burchfield
Burgess Sulphite Fiber Company
Burk Brothers
Burlington Lumber Company
WV Atlee Burpee & Company
Burson Knitting Company
Burt Machine Company
Butters Lumber Company
H. WV Butterworth & Sons Company
Buxton & Skinner Stationery Company
The Cable Company
Samuel Cabot
Cadillac Motor Car Company
The Cahill Iron Works
Calculagraph Company
WV E. Caldwell Company
California Barrel Company
The California Door Company
California Fruit Canners' Association
California Glue Works
California Powder Works
California Saw Works
California Wine Association
WV P. Callahan & Company
The Calvert Lithographing Company
The Cambridge Tile Manufacturing Company
Camel Company
A. S. Cameron Steam Pump Works
Camp Manufacturing Company
Joseph Campbell Company
C. H. Campbell Furniture Company
Campbell Knitting Mill Company
The H. O. Canfield Company
The Canfield Rubber Company
The Capewell Horse Nail Company
Capital Gas Engine Company (Arthur Jordan
The Carborundum Company
J. M. Card Lumber Company
The Cardwell Machine Company
The Philip Carey Manufacturing Company
F. WV & F. Carlisle
Carman Manufacturing Company
Carnegie Steel Company
Carpenter-Lamb Company
William Carroll & Company
Carter Howe & Company
Carter Rice & Company Inc
The Carter's Ink Company
Cartilage Tissue Paper Mills
Carver Cotton Gin Company
Cary Manufacturing Company
Cary Safe Company
Cascaden-Vaughan Company
The Case Manufacturing Company
J. I. Case Plow Works
J. I. Case Threshing Machine Company
Cassidy & Son Manufacturing Company
The Cassier Magazine Company
Castalia Portland Cement Company
The Cedar Cliff Silk Company
Central Consumers' Company
The Central Iron and Steel Company
Central Manufacturing Company
Central Paper Company
Central States Bridge Company
Chace Mills
Chadwick Copying Book Company
Chadwick Manufacturing Company
Chain Belt Company
The Challenge Machinery Company
Chambers Bros. Company
The Champion Coated Paper Company
The Champion Iron Company
Champion Paper Company
The Champion Paper Cutter Company
Champion Saw and Machine Company
The Chandler & Price Company
Chandler & Taylor Company
The Chaplin-Fulton Manufacturing Company
Chapman Valve Manufacturing Company
Charlottesville Woolen Mills
L. C. Chase & Company
Chase-Hackley Piano Company
The Chase Machine Company
Chase-Shawmut Company
Chattanooga Brewing Company
Chattanooga Car and Foundry Company
Chattanooga Coffin and Casket Company
Chattanooga Furniture Company
Chattanooga Implement and Manufacturing Company
The Chattanooga Medicine Company
Chattanooga Plow Company
Chattanooga Roofing and Foundry Company
Chattanooga Sewer Pipe and Fire Brick Company
Chautauqua Worsted Mills
The Chelsea Fibre Mills
Cheney Bigelow Wire Works
Cheney Brothers Inc
The Cherry Valley Iron Company
Chess Brothers
Chicago Belting Company
Chicago Bridge and Iron Works
Chicago Car Heating Company
Chicago-Cleveland Car Roofing Company
Chicago Flexible Shaft Company
Chicago Portland Cement Company
Chicago Railway Equipment Company
Chicago Ship Building Company
Chicago Spring Butt Company
Chicago Varnish Company
Chicago Wheel and Manufacturing Company
Chickasaw Cooperage Company
Chickasaw Iron Works
Chicopee Manufacturing Company
Antoine Chiris
The Chisholm & Moore Manufacturing Company
William Chisholm & Sons
Christy Fire Clay Company
Chrome Steel Works
Church & Dwight Company
Cincinnati Cooperage Company
The Cincinnati Milling Machine Company
The Cincinnati Punch and Shear Company
The Cincinnati Tool Company
Citico Furnace Company
The H. B. Claflin Company
The E. D. Clapp Manufacturing Company
J. L. Clark
A. B. Clark Company
J. Shepherd Clark Company
Jas. Clark Jr. & Company
Clark & Coombs Company
The WV J. Clark Company
Melville Clark Piano Company. Factories
N. Clark & Sons
Clayton Brothers
Clayton & Lambert Manufacturing Company
Clement Manufacturing Company
The Cleveland-Akron Bag Company
The Cleveland Block Company
The Cleveland-Cliffs Iron Company
The Cleveland Frog and Crossing Company
The Cleveland Hardware Company
The Cleveland Stamping and Tool Company
The Cleveland Stone Company
The Cleveland Twist Drill Company
The Cleveland Wire Spring Company
Clifton Manufacturing Company
Climax Road Machine Company
Clipper Lawn Mower Company
Cluett Peabody & Company
Clum & Atkinson
Clyde Iron Works
J. & P. Coats Ltd
Cochran Chair Company
Cochrane Chemical Company
E. J. Codd Company
F. L. & J. C. Codman
Coe Brass Manufacturing Company
The Coe Manufacturing Company
Coes Wrench Company
The A. Colburn Company
B. E. Cole & Company
Cole Manufacturing Company
H. C. Cole Milling Company
Walter Coleman & Sons
Collins & Company
Collins Darrah & Company
The A. M. Collins Manufacturing Company
Collins Plow Company
The Colorado Fuel and Iron Company
Colorado Iron Works Company
J. B. Colt Company
Colt's Patent Fire Arms Manufacturing Company
Columbia Box Company
Columbia Can Company
The Columbia Carriage Company
The Columbia Chemical Company
Columbia Hosiery Company
The Columbia Malting Company
The Columbia Marble Company
Columbia Tool Steel Company
The Columbian Enameling and Stamping Company
The Columbian Hardware Company
The Columbus Bolt Works
The Columbus Brick and Terra Cotta Company
The Columbus Iron and Steel Company
Columbus Manufacturing Company
Combined Locks Paper Company
The Commercial Distilling Company
Commercial Electric Company
Commercial Envelope and Box Company
The Commonwealth Shoe and Leather Company
Commonwealth Steel Company
The Compound Door Company
Comptograph Company
The Computing Scale Company
Concord Axle Company
The Confectioners' Machinery and Manufacturing Company
The Conklin Pen Company
The Conley Foil Company
J. D. Connell Iron Works Company
The Connersville Blower Company
The Conrey & Birely Table Company
Conroy Prugh & Company
Consolidated Dental Manufacturing Company
Consolidated Pipe Company
Consolidated Rubber Tire Company
Continental Gin Company Inc
Continental Stove Company
The Contractors’ Plant Manufacturing Company
The Converse Bridge Company
The F. WV Cook Brewing Company
The Cook Pottery Company
The C. & G. Cooper Company
Cooper Wells & Company
The Co-operative Foundry Company
P. & F. Corbin. Factories at New Britain
Corbin Cabinet Lock Company
The Corbin Screw Corporation
Corning Glass Works
The Cornwall & Patterson Manufacturing Company
Corona Kid Company
Corwin Manufacturing Company
The C. B. Cottrell & Sons Company
The Coulter & McKenzie Machine Company
Courier Journal Job Printing Company
J. & T. Cousins
Covert Manufacturing Company
C. H. Cowdrey Machine Works
Abram Cox Stove Company
G. P. Crafts
Crafts Harrington & Company
The William Cramp & Sons’ Ship and Engine Building Company
Crandal Stone & Company
The Crane & Breed Manufacturing Company
Wm. M. Crane Company
Crane & MacMahon
The Crawford McGregor & Canby Company.
Cream of Wheat Company
C. F. Crehore & Son
The Crescent Machine Company
George V. Cresson Company
Crew Levick Company
Crocker Chair Company
Howland Croft Sons & Company
The Crompton & Knowles Loom Works
The Cronk & Carrier Manufacturing Company
John H. Cross
Lewis A. Crossett Inc
The Crossley Manufacturing Company
The Crowell Publishing Company
The Cudahy Packing Company
Cumberland Glass Company
Cumberland Glass Manufacturing Company
Cumberland Telephone and Telegraph Company
The Cummings Company
Christopher Cunningham
D. O. Cunningham Gians Company
Jamea Cunningham Son & Company
The Samuel Cupples Wooden Ware Company
Cyrus Currier & Sons
Curtice Brothers Company
H. C. Curtis & Company
Curtis & Company Manufacturing Company
Curtis & Jones Company
Curtis & Marble Machine Company
The Cutler-Hammer Manufacturing Company
Cutler Jewelry Company
The Cutter Electrical and Manufacturing Company
The Cypress Lumber Company
The Dallas Manufacturing Company
Thomas H. Dallett Company
Damascus Bronze Company
Dana Warp Mills
L. N. Dantzler Lumber Company
I. M. Darnell & Son Company
Davenport Pearl Button Company
M. T. Davidson
Davidson Rubber Company
The Davis Boot and Shoe Company
Davis Brothers Rolling Mill and Spike Works
The Davis Chair Company
The WV P. Davis Machine Company
Davis
The Davis Sewing Machine Company
Davol Rubber Company
The Dayton Globe Iron Works Company
The Dayton Lumber and Manufacturing Company
The Dayton Malleable Iron Company
The Dayton Manufacturing Company
Dean Bros. Steam Pump Works
L. L. Dean & Company
Deere & Company
Deere & Mansur Company
Deere & Webber Company
Deering Milliken & Company
The Defiance Machine Works
The Deisel-Wemmer Company
Delany & Company
The De Laval Separator Company
De La Vergne Machine Company
DeLoach Mill Manufacturing Company
The De Long Hook and Eye Company
The Deming Company
Dempster & Place
The Denver Engineering Works Company
The Denver Fire Clay Company
Denver Sewer Pipe and Clay Company
Derby Desk Company
D. G. Dery
The Detrick & Harvey Machine Company
Detroit Copper and Brass Rolling Mills
The Detroit Lubricator Company
Detroit Oak Belting Company
Detroit Screw Works
Detroit Shipbuilding Company
The H. P. Deuscher Company
Thomas Devlin Manufacturing Company
Dexter Lambert & Company
C. H. Dexter & Sons
The Dey Time Register Company
Diamond Machine Company
Diamond Mills Paper Company
The Diamond Rubber Company
Diamond Saw and Stamping Works
A. B. Dick Company
WV S. Dickey Clay Manufacturing Company
WV J. Dickey & Sons Inc
R. E. Dietz Company
J. F. Dietz & Company
Dill & Collins Company
Dilworth Porter & Company Ltd
The Dimmick Pipe Company
Henry Disston & Sons Inc
Divine Brothers Company
Joseph Dixon Crucible Company
Dodge-Davis Manufacturing Company
Dodge Manufacturing Company
Dodge & Olcott Company
Dodson-Braun Manufacturing Company
Doernbecher Manufacturing Company
The Doherty & Wadsworth Company
Estate of William S. Doig
The H. C. Doman Company
R. R. Donnelley & Sons Company
M. A. Donohue & Company
C. Dorflinger & Sons
The J. F. WV Dorman Company
Doubleday-Hill Electric Company
Doubleday Page & Company
R. H. Downman
Draper Company
The Drew-Selby Company
Ducker Company
G. A. Duerler Manufacturing Company
Dugan & Hudson Company
J. H. Duker Box Company
Duncan Electric Manufacturing Company
Duncan Foundry and Machine Works
The Duncan & Miller Glass Company
Dungan Hood & Company Inc
Dunham Corrigan & Hayden Company
Dunn & McCarthy
Duquesne Reduction Company
Durand & Company
Dutchess Tool Company
Eagle Cotton Mills Company
Eagle Iron Works
Eagle Lock Company
Eagle and Phenix Mills
The Eagle White Lead Company
Earl & Wilson
The Earle Gear and Machine Company
East Tennessee Coal Company
The Eastern Granite Roofing Company
S. L. Eastman Flooring Company
Eastman Gardiner & Company
Eastman Kodak Company
Easton & Burnham Machine Company
The Eastwood Wire Manufacturing Company
The Eaton Cole & Burnham Company
Charles A. Eaton Company
Eaton-Huribut Paper Company
J. Eavenson & Sons Inc
The Eberhard Manufacturing Company
Eckfeldt & Ackley
Eclipse Machine Company
D. Eddy & Sons Company
The C. A. Edgarton Manufacturing Company
The Edison Phonograph Works
Edson Manufacturing Company
The Eisenstadt Manufacturing Company
The Elbel Company
Electric Boat Company
The Electric Vehicle Company
Electric Wheel Company
Electro-Chemical Engraving Company
Elgin Butter Tub Company
Elgin Packing Company
Elgin Silver Plate Company
Elk Tanning Company
Elkhart Carriage and Harness Manufacturing Company
The Elliott Company
Elliott-Fisher Company
Elmira Knitting Mills
Elmwood Mills
Ely & Walker Dry Goods Company
The Embossing Company
Emerson Drug Company
Emerson Manufacturing Company
Emerson Piano Company
Emerson Smith & Company Ltd
Geo. D. Emery Company
Empire Brass Works
Empire Rubber Manufacturing Company
Endicott-Johnson Company
The Engelberg Huller Company
England Walton & Company Inc
Ensign Bickford & Company
Enterprise Lumber Company
Enterprise Manufacturing Company
The Enterprise Manufacturing Company of Pennsylvania
Epping-Carpenter Company
Equitable Meter Company
Equitable Powder Manufacturing Company
The Erben-Harding Company
Erie Car Works
Erie City Iron Works
Erie Malleable Iron Company
Estabrook-Anderson Shoe Company
The Esterbrook Steel-Pen Manufacturing Company
The Estey Organ Company
Eureka Refrigerator Company
The Eureka Rubber Manufacturing Company
J. P. Eustis Manufacturing Company
The Evans Marble Company
C. H. Evans & Sons
The Evansville Brewing Association
Evansville Furniture Company
The Evansville Tool Works
Evening Wisconsin Company
Evens & Howard Fire Brick Company
Everett Mills
The Excelsior Shoe Company
Excelsior Wrapper Company
Exposition Cotton Mills
The F. & N. Lawn Mower Company
The Faatz-Reynolds Felting Company
Eberhard Faber
The N. K. Fairbank Company
The Fairbanks Company
E. & T. Fairbanks & Company
Fairbanks Morse & Company
The Fairmount Glass Works
Falulah Paper Company
The Farist Steel Company
A. B. Famham Printing and Stationery Company
A. B. Farquhar & Company
Farr Alpaca Company
Farrand Organ Company
Farrar & Trefts
Parrel Foundry and Machine Company
Farwell Ozmun Kirk & Company
Faunce & Spinney
The Favorite Stove and Range Company
J. A. Fay & Egan Company
Federal Glass Company
Feige Desk Company
Christian Feigenspan Inc
Fellows & Company
Fels & Company
Felton Sibley & Company
Ferguson Bros. Manufacturing Company
Ferguson-McKinney Dry Goods Company
Ferracute Machine Company
Fiebrich Fox Hilker Shoe Company
A. B. Fiedler & Sons
Fred. F. Field Company
Field Force Pump Company
P. A. Field Shoe Company
The Filer & Stowell Company
Findeisen & Kropf Manufacturing Company
The Firth Carpet Company
Firth & Foster Company
Firth-Sterling Steel Company
B. Fischer & Company
The Fischer Foundry and Machine Company
The Fish Brothers Wagon Company
The Fisher Governor Company
Fiske Brothers Refining Company
The Edwin H. Fitler Company
C. L. Flaccus Glass Company
Stanley G. Flagg & Company
S. B. & B. WV Fleisher Inc
Fletcher Manufacturing Company
The Flint Wagon Works
Flint & Walling Manufacturing Company
Florence Pump and Lumber Company
Florence Wagon Works
The Floyd-Wells Company
Robert H. Foerderer Inc
R. R. Fogel & Company
Foley & Williams Manufacturing Company
Folwell Bro. & Company Incorporated
Foos Manufacturing Company
Foot Schulze & Company
Forbes Lithograph Manufacturing Company
The J. B. Ford Company
The Ford & Johnson Company
Ford Morocco Company
The Ford River Lumber Company
The Edward Ford Plate Glass Company
The Forest City Foundry and Manufacturing Company
The Forest City Paint and Varnish Company
Fort Miller Pulp and Paper Company
Fort Wayne Electric Works Inc
Theodore WV Foster & Bro. Company
Foster Bros. Manufacturing Company
Foster Engineering Company
Foster-Lotbman Mills
Foster Rubber Company
The Fostoria Glass Company
Charles K. Fox
Fox River Paper Company
H. H. Franklin Manufacturing Company
Franklin Mills Company
Franklin Stone Company
William Franzen & Son Incorporated
John S. Fray & Company
WV S. Frazier & Company
The S. Freeman & Sons Manufacturing Company
Freiberg & Workum
The Fremont Furniture Company
Samuel H. French & Company
Frick Company
George H. Friend Paper and Tablet Company
George Frost Company
The Frost Manufacturing Company
John A. Frye Shoe Company
Fuller Buggy Company
E. C. Fuller Company. 28 Reade street
WV P. Fuller & Company
The Fuller Iron Works
Fuller & Rice Lumber and Manufacturing Company
Geo. H. Fuller & Son Company
Fuller & Warren Company
The Fuller-Warren Company
Fulton Bag and Cotton Mills
Fulton Engine Works
Fulton Iron Works
G & J Tire Company
Gaar Scott & Company
Gager Lime and Manufacturing Company
Gale Manufacturing Company
Gale Shoe Manufacturing Company
Galland Brothers
Galloway Coal Company
A. F. Gallun & Sons
F. X. Ganter
The Gardner Governor Company
Gardner & Lacey Lumber Company
The M. Garland Company
WV T. Garratt & Company
A. Garrison Foundry Company
The Garvin Machine Company
James S. Gary & Son
Gas Engine and Power Company and Charles L. Seabury & Company
Henry Gaus & Sons Manufacturing Company
The Geiser Manufacturing Company
Gendron Wheel Company
General Electric Company
General Fire Extinguisher Company
The Geometric Tool Company
The Georgia Marble Company
German-American Button Company
Germer Stove Company
Gerstendorfer Brothers
Geuder & Paeschke Manufacturing Company
The Gilbert & Bennett Manufacturing Company
Wm. L. Gilbert Clock Company
Gilbert Paper Company
Gill Brothers Company
Gillette Safety Razor Company
Gillie Engine and Machine Company
Gillinder & Sons Incorporated
Girard Lumber Company
Gisholt Machine Company
Gladding McBean & Company
Glasgow Iron Company
Gleason-Tiebout Glass Company
Glenn-Lowry Manufacturing Company
The Glidden Varnish Company
Globe Iron Works
Globe Knitting Mills
The Globe-Wemicke Company
Globe Woolen Company
Bernard Gloekler Company
The Glucose Sugar Refining Company
The Leon Godchaux Company Ltd
Aug. Goertz & Company
C. P. Goerz Optical Works
Goldens' Foundry and Machine Company
Golding Manf'g Company
Goodell Company
Goodell-Pratt Company
The B. F. Goodrich Company
Hazen B. Goodrich & Company
Goodspeed Machine Company
The Goodyear Tire and Rubber Company
Gordon Battery Company
Gordon & Ferguson Inc
Gorham Manufacturing Company
Gould Coupler Company
Gould & Eberhardt
Gould Manufacturing Company
The Goulds Manufacturing Company
Graf-Morsbach Company
John H. Graham & Company
Granby Mining and Smelting Company
Grand Crossing Tack Company
Grand Rapids Brass Company
Grand Rapids Brush Company
Grand Rapids Engraving Company
Grand Rapids Hand Screw Company
Grand Rapids Refrigerator Company
Grand Rapids Show Case Company
Granite Mills
Graniteville Manufacturing Company
The Grasselli Chemical Company
The Graton & Knight Manufacturing Company
Gray & Dudley Hardware Company
Peter Gray & Sons
Grays Harbor Commercial Company
Great Lakes Engineering Works
The Great Western Pottery Company
Greeley Printery of St Louis
Green’s Car Wheel Manufacturing Company
Greenpoint Metallic Bed Company
The I. & E. Greenwald Company
Benj. WV Greer
Grieb Rubber Company Inc
Griggs Cooper & Company
The Grinnell Manufacturing Corporation
The Griswold Manufacturing Company
Groebe-McGovern Company
William H. Grundy & Company
The Gugler Lithographic Company
Guild & Garrison
Gullett Gin Company
John Gund Brewing Company
Hervey E. Guptill
WV & L. E. Gurley Inc
Gurney Refrigerator Company
Ferd. Haak
A. T. Hagen Company
Haines Jones & Cadbury Company
Hale Company
The Hale & Kilbum Manufacturing Company
Hall & Brown Wood Working Machine Company
Hall & Carpenter
Hall Hartwell & Company
WV F. Hall Printing Company
Hall & Ruckel
Hall Steam Pump Company
Hall's Safe Company
C. T. Ham Manufacturing Company
Hamburg Cordovan Leather Works
Hamburger Cotton Mills
The Hamilton-Brown Shoe Company
Hamilton & Hamilton Jr.
Hamilton Manufacturing Company
The Hamilton Manufacturing Company
Hamilton Rubber Manufacturing Company
Hamilton Woolen Company
Hammermill Paper Company
Hammill & Gillespie
The G. H. Hammond Company
Hammond Lumber Company
The Hammond Typewriter Company
Hampshire Paper Company
Hanan & Son
M. A. Hanna & Company
The Hanson & Van Winkle Company
Hapgood Plow Company
Harbison-Walker Refractories Company
Hardie-Tynes Manufacturing Company
Hargadine McKittrick Dry Goods Company
The Harkness & Cowing Company
P. J. Harney Shoe Company
Harrington & Richardson Arms Company Inc
Edwin Harrington Son & Company Inc
William Harris & Son
Harrisburg Manufacturing and Boiler Company
Harrisburg Shoe Manufacturing Company
Harrison & Gore Silk Company
Harrison Safety Boiler Works
Harrison & Smith Company
The Harrison Wagon Company
Harrow Spring Company
The Hart Manufacturing Company
Hart Mirror Plate Company
Hart & Murphy
The Hartford Manufacturing Company
The Hartford Rubber Works Company
M. Hartley Company
Hartmann Brothers Manufacturing Company
